gene,degree,entropy
G1314,1.0,-0.0
G1213,1.0,-0.0
G1210,1.0,-0.0
G1319,1.0,-0.0
G1425,1.0,-0.0
G1552,1.0,-0.0
G1317,1.0,-0.0
G1643,1.0,-0.0
G1141,1.0,-0.0
G617,1.0,-0.0
G417,1.0,-0.0
G421,1.0,-0.0
G426,1.0,-0.0
G428,1.0,-0.0
G436,1.0,-0.0
G437,1.0,-0.0
G440,1.0,-0.0
G442,1.0,-0.0
G446,1.0,-0.0
G448,1.0,-0.0
G450,1.0,-0.0
G451,1.0,-0.0
G460,1.0,-0.0
G461,1.0,-0.0
G462,1.0,-0.0
G463,1.0,-0.0
G466,1.0,-0.0
G468,1.0,-0.0
G470,1.0,-0.0
G478,1.0,-0.0
G479,1.0,-0.0
G413,1.0,-0.0
G409,1.0,-0.0
G408,1.0,-0.0
G368,1.0,-0.0
G346,1.0,-0.0
G347,1.0,-0.0
G351,1.0,-0.0
G353,1.0,-0.0
G354,1.0,-0.0
G355,1.0,-0.0
G357,1.0,-0.0
G361,1.0,-0.0
G364,1.0,-0.0
G379,1.0,-0.0
G402,1.0,-0.0
G381,1.0,-0.0
G384,1.0,-0.0
G385,1.0,-0.0
G386,1.0,-0.0
G387,1.0,-0.0
G389,1.0,-0.0
G395,1.0,-0.0
G396,1.0,-0.0
G401,1.0,-0.0
G486,1.0,-0.0
G1136,1.0,-0.0
G493,1.0,-0.0
G582,1.0,-0.0
G568,1.0,-0.0
G570,1.0,-0.0
G571,1.0,-0.0
G572,1.0,-0.0
G574,1.0,-0.0
G575,1.0,-0.0
G576,1.0,-0.0
G579,1.0,-0.0
G580,1.0,-0.0
G584,1.0,-0.0
G566,1.0,-0.0
G586,1.0,-0.0
G589,1.0,-0.0
G590,1.0,-0.0
G600,1.0,-0.0
G601,1.0,-0.0
G602,1.0,-0.0
G604,1.0,-0.0
G606,1.0,-0.0
G609,1.0,-0.0
G567,1.0,-0.0
G562,1.0,-0.0
G497,1.0,-0.0
G534,1.0,-0.0
G498,1.0,-0.0
G508,1.0,-0.0
G513,1.0,-0.0
G518,1.0,-0.0
G519,1.0,-0.0
G528,1.0,-0.0
G529,1.0,-0.0
G531,1.0,-0.0
G532,1.0,-0.0
G537,1.0,-0.0
G561,1.0,-0.0
G541,1.0,-0.0
G543,1.0,-0.0
G545,1.0,-0.0
G547,1.0,-0.0
G548,1.0,-0.0
G551,1.0,-0.0
G553,1.0,-0.0
G558,1.0,-0.0
G559,1.0,-0.0
G345,1.0,-0.0
G344,1.0,-0.0
G341,1.0,-0.0
G121,1.0,-0.0
G96,1.0,-0.0
G97,1.0,-0.0
G102,1.0,-0.0
G103,1.0,-0.0
G106,1.0,-0.0
G108,1.0,-0.0
G110,1.0,-0.0
G116,1.0,-0.0
G120,1.0,-0.0
G131,1.0,-0.0
G92,1.0,-0.0
G134,1.0,-0.0
G137,1.0,-0.0
G143,1.0,-0.0
G145,1.0,-0.0
G147,1.0,-0.0
G167,1.0,-0.0
G170,1.0,-0.0
G173,1.0,-0.0
G175,1.0,-0.0
G94,1.0,-0.0
G90,1.0,-0.0
G180,1.0,-0.0
G36,1.0,-0.0
G4,1.0,-0.0
G6,1.0,-0.0
G10,1.0,-0.0
G12,1.0,-0.0
G14,1.0,-0.0
G17,1.0,-0.0
G25,1.0,-0.0
G31,1.0,-0.0
G34,1.0,-0.0
G37,1.0,-0.0
G88,1.0,-0.0
G38,1.0,-0.0
G39,1.0,-0.0
G42,1.0,-0.0
G45,1.0,-0.0
G52,1.0,-0.0
G65,1.0,-0.0
G68,1.0,-0.0
G83,1.0,-0.0
G84,1.0,-0.0
G178,1.0,-0.0
G189,1.0,-0.0
G340,1.0,-0.0
G306,1.0,-0.0
G273,1.0,-0.0
G277,1.0,-0.0
G279,1.0,-0.0
G287,1.0,-0.0
G289,1.0,-0.0
G296,1.0,-0.0
G299,1.0,-0.0
G301,1.0,-0.0
G304,1.0,-0.0
G309,1.0,-0.0
G267,1.0,-0.0
G314,1.0,-0.0
G318,1.0,-0.0
G322,1.0,-0.0
G324,1.0,-0.0
G326,1.0,-0.0
G328,1.0,-0.0
G333,1.0,-0.0
G338,1.0,-0.0
G339,1.0,-0.0
G272,1.0,-0.0
G265,1.0,-0.0
G192,1.0,-0.0
G233,1.0,-0.0
G193,1.0,-0.0
G194,1.0,-0.0
G199,1.0,-0.0
G202,1.0,-0.0
G205,1.0,-0.0
G218,1.0,-0.0
G226,1.0,-0.0
G229,1.0,-0.0
G232,1.0,-0.0
G237,1.0,-0.0
G263,1.0,-0.0
G243,1.0,-0.0
G246,1.0,-0.0
G247,1.0,-0.0
G249,1.0,-0.0
G257,1.0,-0.0
G258,1.0,-0.0
G259,1.0,-0.0
G260,1.0,-0.0
G262,1.0,-0.0
G612,1.0,-0.0
G488,1.0,-0.0
G619,1.0,-0.0
G979,1.0,-0.0
G947,1.0,-0.0
G958,1.0,-0.0
G959,1.0,-0.0
G962,1.0,-0.0
G963,1.0,-0.0
G965,1.0,-0.0
G969,1.0,-0.0
G972,1.0,-0.0
G973,1.0,-0.0
G980,1.0,-0.0
G939,1.0,-0.0
G981,1.0,-0.0
G983,1.0,-0.0
G986,1.0,-0.0
G987,1.0,-0.0
G990,1.0,-0.0
G993,1.0,-0.0
G994,1.0,-0.0
G995,1.0,-0.0
G998,1.0,-0.0
G945,1.0,-0.0
G938,1.0,-0.0
G865,1.0,-0.0
G892,1.0,-0.0
G870,1.0,-0.0
G874,1.0,-0.0
G876,1.0,-0.0
G879,1.0,-0.0
G881,1.0,-0.0
G883,1.0,-0.0
G885,1.0,-0.0
G890,1.0,-0.0
G891,1.0,-0.0
G900,1.0,-0.0
G935,1.0,-0.0
G906,1.0,-0.0
G908,1.0,-0.0
G916,1.0,-0.0
G918,1.0,-0.0
G920,1.0,-0.0
G921,1.0,-0.0
G922,1.0,-0.0
G925,1.0,-0.0
G930,1.0,-0.0
G999,1.0,-0.0
G1000,1.0,-0.0
G1001,1.0,-0.0
G1099,1.0,-0.0
G1082,1.0,-0.0
G1084,1.0,-0.0
G1088,1.0,-0.0
G1090,1.0,-0.0
G1091,1.0,-0.0
G1092,1.0,-0.0
G1094,1.0,-0.0
G1097,1.0,-0.0
G1098,1.0,-0.0
G1101,1.0,-0.0
G1002,1.0,-0.0
G1102,1.0,-0.0
G1103,1.0,-0.0
G1105,1.0,-0.0
G1106,1.0,-0.0
G1110,1.0,-0.0
G1119,1.0,-0.0
G1120,1.0,-0.0
G1126,1.0,-0.0
G1130,1.0,-0.0
G1074,1.0,-0.0
G1073,1.0,-0.0
G1069,1.0,-0.0
G1068,1.0,-0.0
G1005,1.0,-0.0
G1006,1.0,-0.0
G1013,1.0,-0.0
G1015,1.0,-0.0
G1020,1.0,-0.0
G1021,1.0,-0.0
G1025,1.0,-0.0
G1026,1.0,-0.0
G1037,1.0,-0.0
G1039,1.0,-0.0
G1046,1.0,-0.0
G1049,1.0,-0.0
G1050,1.0,-0.0
G1052,1.0,-0.0
G1053,1.0,-0.0
G1058,1.0,-0.0
G1060,1.0,-0.0
G1065,1.0,-0.0
G1067,1.0,-0.0
G868,1.0,-0.0
G1003,1.0,-0.0
G689,1.0,-0.0
G725,1.0,-0.0
G705,1.0,-0.0
G638,1.0,-0.0
G710,1.0,-0.0
G716,1.0,-0.0
G717,1.0,-0.0
G719,1.0,-0.0
G721,1.0,-0.0
G726,1.0,-0.0
G751,1.0,-0.0
G728,1.0,-0.0
G735,1.0,-0.0
G737,1.0,-0.0
G738,1.0,-0.0
G741,1.0,-0.0
G742,1.0,-0.0
G635,1.0,-0.0
G704,1.0,-0.0
G639,1.0,-0.0
G647,1.0,-0.0
G700,1.0,-0.0
G673,1.0,-0.0
G671,1.0,-0.0
G681,1.0,-0.0
G682,1.0,-0.0
G666,1.0,-0.0
G661,1.0,-0.0
G683,1.0,-0.0
G655,1.0,-0.0
G654,1.0,-0.0
G847,1.0,-0.0
G690,1.0,-0.0
G696,1.0,-0.0
G653,1.0,-0.0
G650,1.0,-0.0
G698,1.0,-0.0
G749,1.0,-0.0
G637,1.0,-0.0
G674,1.0,-0.0
G776,1.0,-0.0
G805,1.0,-0.0
G627,1.0,-0.0
G804,1.0,-0.0
G812,1.0,-0.0
G813,1.0,-0.0
G815,1.0,-0.0
G802,1.0,-0.0
G797,1.0,-0.0
G826,1.0,-0.0
G787,1.0,-0.0
G835,1.0,-0.0
G781,1.0,-0.0
G628,1.0,-0.0
G623,1.0,-0.0
G786,1.0,-0.0
G840,1.0,-0.0
G761,1.0,-0.0
G622,1.0,-0.0
G752,1.0,-0.0
G843,1.0,-0.0
G756,1.0,-0.0
G634,1.0,-0.0
G757,1.0,-0.0
G753,1.0,-0.0
G807,1.0,-0.0
G764,1.0,-0.0
G632,1.0,-0.0
G668,0.0,0.0
G70,0.0,0.0
G105,0.0,0.0
G71,0.0,0.0
G74,0.0,0.0
G1587,0.0,0.0
G75,0.0,0.0
G76,0.0,0.0
G77,0.0,0.0
G9,0.0,0.0
G81,0.0,0.0
G8,0.0,0.0
G1166,0.0,0.0
G69,0.0,0.0
G7,0.0,0.0
G100,0.0,0.0
G1071,0.0,0.0
G95,0.0,0.0
G86,0.0,0.0
G87,0.0,0.0
G98,0.0,0.0
G93,0.0,0.0
G1077,0.0,0.0
G89,0.0,0.0
G1575,0.0,0.0
G82,0.0,0.0
G1628,0.0,0.0
G67,0.0,0.0
G1345,0.0,0.0
G107,0.0,0.0
G1100,0.0,0.0
G595,0.0,0.0
G596,0.0,0.0
G1635,0.0,0.0
G33,0.0,0.0
G30,0.0,0.0
G41,0.0,0.0
G29,0.0,0.0
G28,0.0,0.0
G20,0.0,0.0
G26,0.0,0.0
G21,0.0,0.0
G22,0.0,0.0
G40,0.0,0.0
G11,0.0,0.0
G64,0.0,0.0
G583,0.0,0.0
G61,0.0,0.0
G60,0.0,0.0
G59,0.0,0.0
G56,0.0,0.0
G24,0.0,0.0
G53,0.0,0.0
G1603,0.0,0.0
G43,0.0,0.0
G51,0.0,0.0
G50,0.0,0.0
G48,0.0,0.0
G47,0.0,0.0
G46,0.0,0.0
G44,0.0,0.0
G54,0.0,0.0
G1429,0.0,0.0
G1560,0.0,0.0
G525,0.0,0.0
G718,0.0,0.0
G1337,0.0,0.0
G214,0.0,0.0
G209,0.0,0.0
G207,0.0,0.0
G535,0.0,0.0
G204,0.0,0.0
G536,0.0,0.0
G708,0.0,0.0
G1502,0.0,0.0
G701,0.0,0.0
G191,0.0,0.0
G190,0.0,0.0
G1031,0.0,0.0
G185,0.0,0.0
G183,0.0,0.0
G182,0.0,0.0
G1486,0.0,0.0
G1387,0.0,0.0
G1174,0.0,0.0
G1286,0.0,0.0
G871,0.0,0.0
G838,0.0,0.0
G414,0.0,0.0
G419,0.0,0.0
G905,0.0,0.0
G912,0.0,0.0
G1451,0.0,0.0
G783,0.0,0.0
G1231,0.0,0.0
G453,0.0,0.0
G1279,0.0,0.0
G1400,0.0,0.0
G968,0.0,0.0
G281,0.0,0.0
G477,0.0,0.0
G275,0.0,0.0
G1216,0.0,0.0
G1032,0.0,0.0
G177,0.0,0.0
G1038,0.0,0.0
G174,0.0,0.0
G138,0.0,0.0
G1541,0.0,0.0
G1180,0.0,0.0
G133,0.0,0.0
G132,0.0,0.0
G1054,0.0,0.0
G130,0.0,0.0
G128,0.0,0.0
G127,0.0,0.0
G125,0.0,0.0
G124,0.0,0.0
G123,0.0,0.0
G680,0.0,0.0
G114,0.0,0.0
G112,0.0,0.0
G111,0.0,0.0
G1175,0.0,0.0
G140,0.0,0.0
G144,0.0,0.0
G146,0.0,0.0
G160,0.0,0.0
G1305,0.0,0.0
G172,0.0,0.0
G1040,0.0,0.0
G168,0.0,0.0
G166,0.0,0.0
G1521,0.0,0.0
G163,0.0,0.0
G159,0.0,0.0
G148,0.0,0.0
G158,0.0,0.0
G157,0.0,0.0
G155,0.0,0.0
G154,0.0,0.0
G151,0.0,0.0
G149,0.0,0.0
G1531,0.0,0.0
G1,0.0,0.0
